,title,description
18,Lo studente di Praga,"Balduin, a student of Prague, leaves his roystering companions in the beer garden, when he finds he has reached the end of his resources. He is scarcely seated in a quiet corner when a ..."
22,The Avenging Conscience: or 'Thou Shalt Not Kill',"Prevented from dating his sweetheart by his uncle, a young man turns his thoughts to murder."
29,Der Golem,"In this version of the golem legend, the golem, a clay statue brought to life by Rabbi Loew in 16th century Prague to save the Jews from the ongoing brutal persecution by the city's rulers,..."
53,Hævnens Nat,"A criminal escapes from prison, however a betrayal leads to his second arrest."
59,Rapsodia satanica,"A Faustian tale about an old woman who makes a pact with Mephisto to regain her youth, in return she must stay away from love. After the deal she meets two brothers who fall in love with her."
79,Pikovaya dama,"While hosting a game of cards one night, Narumov tells his friends a story about his grandmother, a Countess. As a young woman, she had once incurred an enormous gambling debt, which she ..."
92,Furcht,"After years travelling the world, Count Greven returns home with the art treasures he has collected. But his disposition has altered dramatically and he is a troubled man. Will he suffer ..."
116,Gli occhi della mummia,"A girl is kidnapped and held captive in an ancient Egyptian temple. She is rescued and flees to England, but soon finds that her mysterious captor is still haunting her."
164,Per la patria,"The story of two men, one married, the other the lover of the other's wife, who meet in the trenches of the First World War, and how their tale becomes a microcosm for the horrors of war."
165,Il gabinetto del dottor Caligari,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders."
170,Die Pest in Florenz,"Suddenly appearing in Florence, an evil seductress causes Cesare, the city's ruler, and his son to both fall madly in love with her. The son, killing his father before an order to torture ..."
179,Un affare misterioso,"A demon, a reaper, and the ghost of a prostitute read gothic short stories and act them out."
190,Dr. Jekyll e Mr. Hyde,"Dr. Henry Jekyll experiments with scientific means of revealing the hidden, dark side of man and releases a murderer from within himself."
195,Genuine,"Extremely rare work of Robert Wiene. From the director and year of excellent ""The Cabinet of Dr. Caligari"" this work was eventually overshadowed by the success of Caligari. It has a dreamy atmosphere, like another world or something."
196,Il Golem - Come venne al mondo,"In 16th-century Prague, a rabbi creates the Golem - a giant creature made of clay. Using sorcery, he brings the creature to life in order to protect the Jews of Prague from persecution."
214,La vedova del pastore,"A young man is elected by a small village to be its parson. As part of his duties, he is required to marry the widow of the parson before him. This poses two problems--first, the widow is ..."
252,Il carrettiere della morte,"On New Year's Eve, the driver of a ghostly carriage forces a drunken man to reflect on his selfish, wasted life."
